365, 356, 154, 67, 0.500000, 0.500000 
248, 352, 146, 91, 0.500000, 0.420000 
282, 347, 171, 107, 0.580000, 0.360000 
425, 295, 222, 93, 0.640000, 0.280000 
422, 258, 225, 94, 0.520000, 0.180000 
400, 301, 208, 113, 0.420000, 0.140000 
379, 314, 187, 140, 0.320000, 0.040000 
392, 395, 130, 182, 0.280000, 0.000083 
348, 325, 192, 167, 0.220000, 0.000083 
213, 231, 178, 104, 0.200000, 0.000083 
174, 289, 181, 75, 0.220000, 0.160083 
222, 295, 187, 86, 0.360000, 0.220083 
198, 313, 173, 120, 0.480000, 0.240083 
257, 264, 125, 103, 0.660000, 0.220083 
286, 258, 93, 78, 0.740000, 0.220083 
261, 251, 85, 60, 0.780000, 0.220083 
372, 205, 106, 72, 0.820000, 0.220083 
403, 215, 118, 65, 0.720000, 0.320083 
397, 226, 128, 53, 0.600000, 0.340083 
327, 281, 149, 61, 0.500000, 0.340083 
417, 277, 177, 68, 0.480000, 0.300083 
452, 278, 179, 85, 0.380000, 0.260083 
354, 305, 196, 105, 0.280000, 0.120083 
297, 334, 180, 142, 0.260000, 0.000083 
311, 395, 137, 164, 0.220000, 0.000083 
377, 331, 169, 146, 0.220000, 0.000083 
305, 285, 140, 105, 0.180000, 0.000083 
201, 256, 152, 111, 0.140000, 0.000083 
210, 299, 154, 58, 0.220000, 0.180083 
308, 324, 204, 91, 0.320000, 0.180083 
357, 327, 191, 109, 0.360000, 0.100083 
241, 344, 186, 123, 0.320000, 0.000083 
398, 270, 187, 113, 0.420000, 0.000083 
357, 330, 102, 37, 0.500000, 0.500000 
405, 297, 126, 45, 0.500000, 0.440000 
213, 319, 116, 55, 0.420000, 0.400000 
244, 330, 128, 82, 0.540000, 0.400000 
242, 288, 115, 71, 0.640000, 0.360000 
255, 288, 121, 64, 0.720000, 0.360000 
364, 254, 122, 56, 0.760000, 0.360000 
340, 290, 154, 82, 0.660000, 0.340000 
412, 251, 178, 88, 0.640000, 0.260000 
412, 288, 201, 86, 0.560000, 0.260000 
394, 301, 208, 109, 0.480000, 0.160000 
280, 297, 181, 126, 0.440000, 0.020000 
409, 291, 200, 118, 0.520000, 0.020000 
397, 270, 207, 113, 0.440000, 0.000083 
371, 232, 208, 99, 0.380000, 0.000083 
238, 298, 208, 95, 0.300000, 0.100083 
226, 262, 208, 96, 0.400000, 0.100083 
263, 259, 176, 102, 0.460000, 0.160083 
351, 260, 156, 70, 0.520000, 0.260083 
428, 280, 162, 78, 0.460000, 0.280083 
338, 343, 198, 84, 0.360000, 0.280083 
308, 318, 202, 99, 0.400000, 0.140083 
376, 300, 199, 116, 0.440000, 0.040083 
358, 340, 195, 142, 0.380000, 0.000083 
402, 330, 159, 156, 0.340000, 0.000083 
404, 368, 160, 164, 0.260000, 0.000083 
177, 290, 193, 120, 0.200000, 0.000083 
200, 228, 205, 88, 0.300000, 0.000083 
189, 286, 192, 101, 0.380000, 0.140083 
357, 324, 199, 108, 0.500000, 0.180083 
254, 229, 212, 131, 0.500000, 0.000083 
258, 282, 167, 153, 0.600000, 0.180083 
293, 278, 161, 127, 0.700000, 0.220083 
