273, 381, 153, 84, 0.500000, 0.500000, 0 
349, 308, 163, 108, 0.500000, 0.650000, 0 
319, 314, 157, 117, 0.400000, 0.650000, 0 
309, 312, 186, 146, 0.350000, 0.700000, 0 
285, 329, 184, 152, 0.350000, 0.750000, 0 
215, 307, 211, 169, 0.300000, 0.850000, 0 
221, 244, 164, 151, 0.350000, 1.000000, 0 
220, 271, 183, 140, 0.400000, 1.000000, 0 
249, 315, 205, 143, 0.450000, 1.000000, 0 
204, 321, 215, 137, 0.450000, 1.000000, 0 
430, 255, 177, 140, 0.550000, 1.000000, 0 
340, 297, 152, 179, 0.400000, 0.900000, 0 
304, 280, 140, 193, 0.300000, 0.900000, 0 
290, 267, 130, 177, 0.250000, 0.900000, 0 
259, 221, 151, 174, 0.200000, 0.900000, 0 
171, 236, 191, 112, 0.200000, 0.800000, 0 
146, 200, 218, 97, 0.300000, 0.800000, 0 
356, 233, 165, 111, 0.450000, 0.800000, 0 
315, 332, 189, 148, 0.350000, 0.700000, 0 
332, 298, 154, 165, 0.300000, 0.800000, 0 
153, 256, 188, 108, 0.200000, 0.750000, 0 
151, 210, 205, 98, 0.300000, 0.850000, 0 
272, 207, 192, 92, 0.450000, 0.850000, 0 
360, 203, 164, 101, 0.500000, 0.850000, 0 
332, 281, 152, 113, 0.450000, 0.700000, 0 
337, 296, 169, 126, 0.400000, 0.750000, 0 
103, 215, 230, 90, 0.350000, 0.800000, 0 
222, 290, 199, 99, 0.550000, 0.800000, 0 
236, 283, 190, 140, 0.650000, 0.950000, 0 
395, 144, 165, 91, 0.750000, 1.000000, 0 
436, 255, 154, 59, 0.700000, 0.800000, 0 
432, 275, 141, 80, 0.600000, 0.700000, 0 
342, 244, 119, 70, 0.450000, 0.650000, 0 
175, 249, 127, 61, 0.400000, 0.550000, 0 
377, 239, 107, 48, 0.550000, 0.650000, 0 
243, 201, 106, 43, 0.450000, 0.650000, 0 
383, 244, 81, 37, 0.550000, 0.600000, 0 
364, 324, 146, 84, 0.500000, 0.600000, 0 
295, 337, 126, 62, 0.500000, 0.500000, 0 
257, 251, 134, 62, 0.500000, 0.600000, 0 
303, 254, 114, 46, 0.550000, 0.600000, 0 
373, 281, 120, 63, 0.550000, 0.600000, 0 
